Source,Target,Weight
Modelocon2temas_Subtema0,igualdad,0.629
Modelocon2temas_Subtema0,mujer,0.363
Modelocon2temas_Subtema0,aborto,0.337
Modelocon2temas_Subtema0,derecho,0.22
Modelocon2temas_Subtema0,él,0.212
Modelocon2temas_Subtema0,hombre,0.184
Modelocon2temas_Subtema0,vox,0.173
Modelocon2temas_Subtema0,género,0.161
Modelocon2temas_Subtema0,deber,0.113
Modelocon2temas_Subtema0,vida,0.11
Modelocon2temas_Subtema1,igualdad,-0.597
Modelocon2temas_Subtema1,aborto,0.577
Modelocon2temas_Subtema1,vox,0.248
Modelocon2temas_Subtema1,derecho,0.202
Modelocon2temas_Subtema1,él,0.196
Modelocon2temas_Subtema1,género,-0.167
Modelocon2temas_Subtema1,vida,0.136
Modelocon2temas_Subtema1,año,0.09
Modelocon2temas_Subtema1,000,0.087
Modelocon2temas_Subtema1,hombre,-0.084
Modelocon3temas_Subtema0,igualdad,0.629
Modelocon3temas_Subtema0,mujer,0.363
Modelocon3temas_Subtema0,aborto,0.337
Modelocon3temas_Subtema0,derecho,0.22
Modelocon3temas_Subtema0,él,0.212
Modelocon3temas_Subtema0,hombre,0.184
Modelocon3temas_Subtema0,vox,0.173
Modelocon3temas_Subtema0,género,0.161
Modelocon3temas_Subtema0,deber,0.113
Modelocon3temas_Subtema0,vida,0.11
Modelocon3temas_Subtema1,igualdad,-0.597
Modelocon3temas_Subtema1,aborto,0.577
Modelocon3temas_Subtema1,vox,0.248
Modelocon3temas_Subtema1,derecho,0.202
Modelocon3temas_Subtema1,él,0.196
Modelocon3temas_Subtema1,género,-0.167
Modelocon3temas_Subtema1,vida,0.136
Modelocon3temas_Subtema1,año,0.09
Modelocon3temas_Subtema1,000,0.087
Modelocon3temas_Subtema1,hombre,-0.084
Modelocon3temas_Subtema2,vox,0.761
Modelocon3temas_Subtema2,aborto,-0.417
Modelocon3temas_Subtema2,voto,0.258
Modelocon3temas_Subtema2,pp,0.202
Modelocon3temas_Subtema2,mujer,-0.127
Modelocon3temas_Subtema2,él,0.095
Modelocon3temas_Subtema2,decir,0.094
Modelocon3temas_Subtema2,izquierda,0.09
Modelocon3temas_Subtema2,atvox_es,0.081
Modelocon3temas_Subtema2,pagar,0.078
Modelocon4temas_Subtema0,igualdad,0.629
Modelocon4temas_Subtema0,mujer,0.363
Modelocon4temas_Subtema0,aborto,0.337
Modelocon4temas_Subtema0,derecho,0.22
Modelocon4temas_Subtema0,él,0.212
Modelocon4temas_Subtema0,hombre,0.184
Modelocon4temas_Subtema0,vox,0.173
Modelocon4temas_Subtema0,género,0.161
Modelocon4temas_Subtema0,deber,0.113
Modelocon4temas_Subtema0,vida,0.11
Modelocon4temas_Subtema1,igualdad,-0.597
Modelocon4temas_Subtema1,aborto,0.577
Modelocon4temas_Subtema1,vox,0.248
Modelocon4temas_Subtema1,derecho,0.202
Modelocon4temas_Subtema1,él,0.196
Modelocon4temas_Subtema1,género,-0.167
Modelocon4temas_Subtema1,vida,0.136
Modelocon4temas_Subtema1,año,0.09
Modelocon4temas_Subtema1,000,0.087
Modelocon4temas_Subtema1,hombre,-0.084
Modelocon4temas_Subtema2,vox,0.761
Modelocon4temas_Subtema2,aborto,-0.417
Modelocon4temas_Subtema2,voto,0.258
Modelocon4temas_Subtema2,pp,0.202
