Source,Target,Weight
Tema LSI 0,igualdad,0.6292550050870003
Tema LSI 0,mujer,0.36258964204221467
Tema LSI 0,aborto,0.3371139072579226
Tema LSI 0,derecho,0.22003254616737916
Tema LSI 0,él,0.21158405281068182
Tema LSI 0,hombre,0.18352674140062095
Tema LSI 0,vox,0.17276998817080347
Tema LSI 0,género,0.16095523139596687
Tema LSI 0,deber,0.11312137840693967
Tema LSI 0,vida,0.10959727879509755
Tema LSI 1,igualdad,-0.5969849110849994
Tema LSI 1,aborto,0.5772634370687858
Tema LSI 1,vox,0.24754683578777606
Tema LSI 1,derecho,0.20234245873665366
Tema LSI 1,él,0.19598323883228064
Tema LSI 1,género,-0.1670989182437386
Tema LSI 1,vida,0.13621390436811245
Tema LSI 1,año,0.09006917864860568
Tema LSI 1,000,0.08671456783933756
Tema LSI 1,hombre,-0.0836339308309091
Tema LSI 0,igualdad,0.6292495143803157
Tema LSI 0,mujer,0.36259818270362487
Tema LSI 0,aborto,0.33711444278390934
Tema LSI 0,derecho,0.2200361795398611
Tema LSI 0,él,0.21158593093272743
Tema LSI 0,hombre,0.18352643319928824
Tema LSI 0,vox,0.17276655225069332
Tema LSI 0,género,0.16095146522242182
Tema LSI 0,deber,0.11312115109782847
Tema LSI 0,vida,0.10958707055391168
Tema LSI 1,igualdad,-0.5969847479859124
Tema LSI 1,aborto,0.5772726502190232
Tema LSI 1,vox,0.24755219096995773
Tema LSI 1,derecho,0.2023414760470306
Tema LSI 1,él,0.19598656138905798
Tema LSI 1,género,-0.1670933581419785
Tema LSI 1,vida,0.13622237828550676
Tema LSI 1,año,0.09006218530462336
Tema LSI 1,000,0.08670833808139408
Tema LSI 1,hombre,-0.0836183728558299
Tema LSI 2,vox,0.7608589024295507
Tema LSI 2,aborto,-0.4169748861979183
Tema LSI 2,voto,0.257632299235004
Tema LSI 2,pp,0.2017283543463265
Tema LSI 2,mujer,-0.12671007390856742
Tema LSI 2,él,0.09514130351682464
Tema LSI 2,decir,0.09449896482299737
Tema LSI 2,izquierda,0.09038290370268613
Tema LSI 2,@vox_es,0.08124006168392946
Tema LSI 2,pagar,0.07826787372018763
Tema LSI 0,igualdad,0.629249014520933
Tema LSI 0,mujer,0.3626007126375145
Tema LSI 0,aborto,0.33712269839457704
Tema LSI 0,derecho,0.22002887748076017
Tema LSI 0,él,0.21158759184446738
Tema LSI 0,hombre,0.18352744099257193
Tema LSI 0,vox,0.17277074854038
Tema LSI 0,género,0.16095256108126135
Tema LSI 0,deber,0.113116948976899
Tema LSI 0,vida,0.10958366382857317
Tema LSI 1,igualdad,-0.5969908550126538
Tema LSI 1,aborto,0.57726115286573
Tema LSI 1,vox,0.24754835891399057
Tema LSI 1,derecho,0.20234039291310787
Tema LSI 1,él,0.19598724872506673
Tema LSI 1,género,-0.16708332966645553
Tema LSI 1,vida,0.13621009525884992
Tema LSI 1,año,0.09006485078825945
Tema LSI 1,000,0.08668305925427473
Tema LSI 1,hombre,-0.08363080450957949
Tema LSI 2,vox,0.7608631072095181
Tema LSI 2,aborto,-0.4169882349708734
Tema LSI 2,voto,0.2576239366726936
Tema LSI 2,pp,0.20173219009137772
Tema LSI 2,mujer,-0.12671842029200012
Tema LSI 2,él,0.09514393581658691
Tema LSI 2,decir,0.09450424165751152
Tema LSI 2,izquierda,0.09039576512162126
Tema LSI 2,@vox_es,0.08120315721428031
Tema LSI 2,pagar,0.07821685665676985
Tema LSI 3,mujer,-0.77892998859286
Tema LSI 3,derecho,0.282569937860686
Tema LSI 3,hombre,-0.2609114916990051
Tema LSI 3,igualdad,0.23915687709116307
Tema LSI 3,aborto,0.18953193322394463
Tema LSI 3,género,0.1283086379465154
Tema LSI 3,feminismo,-0.1085231652043361
Tema LSI 3,decidir,-0.09866137949569026
Tema LSI 3,vida,0.09505412298443217
Tema LSI 3,decir,0.09014668350034051
Tema LSI 0,igualdad,-0.6292517330846433
Tema LSI 0,mujer,-0.3625954519830219
Tema LSI 0,aborto,-0.3371185116054325
Tema LSI 0,derecho,-0.22003174412120632
Tema LSI 0,él,-0.211583420704064
Tema LSI 0,hombre,-0.18353046750964971
Tema LSI 0,vox,-0.17276964361530364
Tema LSI 0,género,-0.1609560381461334
Tema LSI 0,deber,-0.11311934492954037
Tema LSI 0,vida,-0.10959114297498267
Tema LSI 1,igualdad,-0.5969831656180669
Tema LSI 1,aborto,0.577259183358875
Tema LSI 1,vox,0.24754733015074978
Tema LSI 1,derecho,0.2023424845047377
Tema LSI 1,él,0.1959839181550914
Tema LSI 1,género,-0.16709827610559563
Tema LSI 1,vida,0.13621741812023994
Tema LSI 1,año,0.0900737562812112
Tema LSI 1,000,0.08670613926561829
Tema LSI 1,hombre,-0.08362811392501927
Tema LSI 2,vox,-0.7608764858417804
Tema LSI 2,aborto,0.4169744050473192
Tema LSI 2,voto,-0.2576298579224576
Tema LSI 2,pp,-0.2016962612440695
Tema LSI 2,mujer,0.12673692803922162
Tema LSI 2,él,-0.09512157736949077
Tema LSI 2,decir,-0.09448574128210613
Tema LSI 2,izquierda,-0.09043164471573735
Tema LSI 2,@vox_es,-0.0812147865028135
Tema LSI 2,pagar,-0.07828065873866015
Tema LSI 3,mujer,0.7789733843641519
Tema LSI 3,derecho,-0.28252924353325987
Tema LSI 3,hombre,0.26087841649797117
Tema LSI 3,igualdad,-0.23917312851161363
Tema LSI 3,aborto,-0.18954599842038955
Tema LSI 3,género,-0.12830400506780684
Tema LSI 3,feminismo,0.10851160287162542
Tema LSI 3,decidir,0.09859170071510895
Tema LSI 3,vida,-0.0950918200799955
Tema LSI 3,decir,-0.09013886260444767
Tema LSI 4,derecho,-0.6990233223741357
Tema LSI 4,aborto,0.2954312487968146
Tema LSI 4,privado,0.18418500301532598
Tema LSI 4,@emmarincon,-0.1823908805257227
Tema LSI 4,000,0.17992278392377634
Tema LSI 4,vida,-0.17426063687823465
Tema LSI 4,vox,0.15142354677987455
Tema LSI 4,público,0.14484695461558572
Tema LSI 4,año,0.13273530782827608
Tema LSI 4,león,0.1275904558518204
Tema LSI 0,igualdad,0.6292511473618096
Tema LSI 0,mujer,0.3625942689765767
Tema LSI 0,aborto,0.3371201031537584
Tema LSI 0,derecho,0.22003110975850348
Tema LSI 0,él,0.211582474316139
Tema LSI 0,hombre,0.1835233621934856
Tema LSI 0,vox,0.17276805604673057
Tema LSI 0,género,0.1609518839339452
Tema LSI 0,deber,0.11312250709571915
Tema LSI 0,vida,0.10958244099776408
Tema LSI 1,igualdad,0.5969898021457499
Tema LSI 1,aborto,-0.5772686182963371
Tema LSI 1,vox,-0.24755022826989745
Tema LSI 1,derecho,-0.20234194637797454
Tema LSI 1,él,-0.19598432654547038
Tema LSI 1,género,0.16708887394781144
Tema LSI 1,vida,-0.1362097376510912
Tema LSI 1,año,-0.09006782550002672
Tema LSI 1,000,-0.0866929440401013
Tema LSI 1,hombre,0.08362649414588448
Tema LSI 2,vox,0.7608715260493459
