Source,Target,Type,Weight
altura,país,Undirected,1
país,bajísimo,Undirected,1
bajísimo,feiijo,Undirected,1
feiijo,falta,Undirected,1
falta,letrero,Undirected,1
letrero,atril,Undirected,1
baje,brazos,Undirected,1
brazos,don,Undirected,1
don,gonzalo,Undirected,1
interesa,reducir,Undirected,1
reducir,debate,Undirected,1
debate,básico,Undirected,1
básico,buscar,Undirected,1
buscar,enfrentamiento,Undirected,1
enfrentamiento,ciudadanos,Undirected,1
ciudadanos,triste,Undirected,1
triste,política,Undirected,1
messi,gallardo,Undirected,37
neymar,pity,Undirected,3
página,web,Undirected,1
web,director,Undirected,1
director,médico,Undirected,1
médico,trabaja,Undirected,1
trabaja,clínico,Undirected,1
clínico,hospital,Undirected,1
hospital,público,Undirected,2
público,supuestamente,Undirected,1
supuestamente,objetores,Undirected,1
objetores,curiosamente,Undirected,1
curiosamente,conciertos,Undirected,1
conciertos,ive,Undirected,1
ive,clínica,Undirected,1
tito,negre,Undirected,1
negre,gustar,Undirected,1
gustar,hombres,Undirected,1
hombres,seguir,Undirected,1
seguir,hombre,Undirected,1
galtier,vs,Undirected,1
vs,gallardo,Undirected,7
gallardo,messi,Undirected,28
messi,vs,Undirected,27
qué,vulneraba,Undirected,1
vulneraba,ley,Undirected,1
ley,protoco,Undirected,1
protoco,qué,Undirected,1
qué,firmó,Undirected,1
firmó,cam,Undirected,1
cam,privando,Undirected,1
privando,de,Undirected,1
de,derechos,Undirected,2
derechos,ancianos,Undirected,1
ancianos,atendidos,Undirected,1
atendidos,medico,Undirected,1
medico,condenandomes,Undirected,1
condenandomes,morir,Undirected,1
morir,seguridad,Undirected,1
seguridad,rodeados,Undirected,1
rodeados,de,Undirected,1
de,heces,Undirected,1
heces,orina,Undirected,1
gentuza,aborte,Undirected,1
aborte,reproduzca,Undirected,1
reproduzca,favor,Undirected,1
favor,hijo,Undirected,1
hijo,mundo,Undirected,2
seguro,debes,Undirected,1
debes,aclararte,Undirected,1
aclararte,refieres,Undirected,1
refieres,refieres,Undirected,1
refieres,efectivamente,Undirected,1
