Source,Target,Type
altura,país,Undirected
país,bajísimo,Undirected
bajísimo,feiijo,Undirected
feiijo,falta,Undirected
falta,letrero,Undirected
letrero,atril,Undirected
baje,brazos,Undirected
brazos,don,Undirected
don,gonzalo,Undirected
interesa,reducir,Undirected
reducir,debate,Undirected
debate,básico,Undirected
básico,buscar,Undirected
buscar,enfrentamiento,Undirected
enfrentamiento,ciudadanos,Undirected
ciudadanos,triste,Undirected
triste,política,Undirected
messi,gallardo,Undirected
neymar,pity,Undirected
página,web,Undirected
web,director,Undirected
director,médico,Undirected
médico,trabaja,Undirected
trabaja,clínico,Undirected
clínico,hospital,Undirected
hospital,público,Undirected
público,supuestamente,Undirected
supuestamente,objetores,Undirected
objetores,curiosamente,Undirected
curiosamente,conciertos,Undirected
conciertos,ive,Undirected
ive,clínica,Undirected
tito,negre,Undirected
negre,gustar,Undirected
gustar,hombres,Undirected
hombres,seguir,Undirected
seguir,hombre,Undirected
galtier,vs,Undirected
vs,gallardo,Undirected
gallardo,messi,Undirected
messi,vs,Undirected
q,vulneraba,Undirected
vulneraba,ley,Undirected
ley,protoco,Undirected
protoco,q,Undirected
q,firmó,Undirected
firmó,cam,Undirected
cam,privando,Undirected
privando,d,Undirected
d,derechos,Undirected
derechos,ancianos,Undirected
ancianos,atendidos,Undirected
atendidos,medico,Undirected
medico,condenandomes,Undirected
condenandomes,morir,Undirected
morir,seguridad,Undirected
seguridad,rodeados,Undirected
rodeados,d,Undirected
d,heces,Undirected
heces,orina,Undirected
gentuza,aborte,Undirected
aborte,reproduzca,Undirected
reproduzca,favor,Undirected
favor,hijo,Undirected
hijo,mundo,Undirected
seguro,debes,Undirected
debes,aclararte,Undirected
aclararte,refieres,Undirected
refieres,refieres,Undirected
refieres,efectivamente,Undirected
efectivamente,ley,Undirected
ley,hablas,Undirected
hablas,censura,Undirected
censura,hablo,Undirected
hablo,cosas,Undirected
cosas,respondo,Undirected
respondo,coherente,Undirected
coherente,hablamos,Undirected
hablamos,cosas,Undirected
menores,tuteladas,Undirected
tuteladas,oltra,Undirected
oltra,espera,Undirected
espera,juan,Undirected
juan,diga,Undirected
frabigordo,juega,Undirected
juega,pity,Undirected
pity,martínez,Undirected
martínez,gallardo,Undirected
gallardo,traicionó,Undirected
traicionó,mando,Undirected
mando,banco,Undirected
tb,metido,Undirected
metido,pp,Undirected
pp,vista,Undirected
vista,comportamiento,Undirected
comportamiento,ceuta,Undirected
prueba,mentalidad,Undirected
mentalidad,totalitaria,Undirected
totalitaria,irene,Undirected
irene,montero,Undirected
educación,debo,Undirected
debo,loca,Undirected
hincha,equipos,Undirected
equipos,arabia,Undirected
arabia,señor,Undirected
señor,marcelo,Undirected
marcelo,daniel,Undirected
daniel,gallardo,Undirected
bruselas,desoye,Undirected
desoye,petición,Undirected
petición,pp,Undirected
pp,castigar,Undirected
castigar,españa,Undirected
españa,vuelve,Undirected
vuelve,exigirle,Undirected
exigirle,desbloquee,Undirected
desbloquee,cgpj,Undirected
votado,veis,Undirected
rousse,teoría,Undirected
teoría,velo,Undirected
velo,ignorancia,Undirected
ignorancia,cumplir,Undirected
cumplir,principio,Undirected
principio,igualdad,Undirected
igualdad,principio,Undirected
principio,diferencia,Undirected
diferencia,tengan,Undirected
tengan,mutuo,Undirected
mutuo,interés,Undirected
interés,filolabutpl,Undirected
