Modelo,Coherencia,Número del Tema,Palabras Clave
Modelo con 2 temas,0.3682445020533398,0,"aborto (0.078), mujer (0.053), derecho (0.034), él (0.031), @emmarincon (0.026), vida (0.025), izquierdo (0.023), humano (0.019), madre (0.017), volver (0.017)"
Modelo con 2 temas,0.3682445020533398,1,"igualdad (0.105), vox (0.064), género (0.028), pp (0.024), izquierda (0.023), ley (0.022), voto (0.021), deber (0.019), él (0.018), persona (0.018)"
Modelo con 3 temas,0.47662094637756675,0,"aborto (0.101), vox (0.078), derecho (0.057), él (0.036), vida (0.030), ley (0.024), volver (0.021), gallardo (0.020), año (0.019), decir (0.018)"
Modelo con 3 temas,0.47662094637756675,1,"igualdad (0.157), género (0.043), hombre (0.038), mujer (0.034), ministerio (0.020), partido (0.020), deber (0.020), humano (0.019), pp (0.019), pasar (0.017)"
Modelo con 3 temas,0.47662094637756675,2,"izquierdo (0.042), izquierda (0.040), mujer (0.039), voto (0.037), él (0.030), madre (0.029), ver (0.025), querer (0.024), @theobjective_es (0.020), dar (0.020)"
Modelo con 4 temas,0.4250539685555704,0,"aborto (0.156), mujer (0.088), hombre (0.051), él (0.037), madre (0.035), derecho (0.024), abortar (0.022), anticonceptivo (0.017), vida (0.016), feminismo (0.015)"
Modelo con 4 temas,0.4250539685555704,1,"vox (0.095), derecho (0.050), @emmarincon (0.042), izquierdo (0.041), izquierda (0.039), voto (0.036), humano (0.031), vida (0.029), pp (0.028), decir (0.026)"
Modelo con 4 temas,0.4250539685555704,2,"igualdad (0.169), género (0.055), volver (0.033), gallardo (0.031), dirigir (0.026), ministerio (0.026), esperar (0.026), @theobjective_es (0.022), ver (0.022), privado (0.019)"
Modelo con 4 temas,0.4250539685555704,3,"ley (0.050), igualdad (0.042), deber (0.041), @vox_es (0.033), partido (0.030), sexual (0.029), él (0.028), entender (0.026), político (0.025), pedir (0.024)"
Modelo con 5 temas,0.3739821427492983,0,"igualdad (0.111), aborto (0.091), género (0.059), él (0.050), volver (0.039), gallardo (0.036), dirigir (0.030), ley (0.027), quedar (0.021), violencia (0.017)"
Modelo con 5 temas,0.3739821427492983,1,"aborto (0.068), madre (0.043), vida (0.038), izquierda (0.032), esperar (0.029), @monasterior (0.025), político (0.025), año (0.023), derecho (0.022), seguir (0.022)"
Modelo con 5 temas,0.3739821427492983,2,"izquierdo (0.065), derecho (0.051), voto (0.046), vox (0.044), ir (0.037), @theobjective_es (0.032), pp (0.031), pedir (0.029), @irenemontero (0.024), abascal (0.024)"
