Modelo,Coherencia,Número del Tema,Palabras Clave
Modelo con 2 temas,0.2758454893926119,0,"igualdad (0.629), mujer (0.363), aborto (0.337), derecho (0.220), él (0.212), hombre (0.184), vox (0.173), género (0.161), deber (0.113), vida (0.110)"
Modelo con 2 temas,0.2758454893926119,1,"igualdad (-0.597), aborto (0.577), vox (0.248), derecho (0.202), él (0.196), género (-0.167), vida (0.136), año (0.090), 000 (0.087), hombre (-0.084)"
Modelo con 3 temas,0.3009599956746125,0,"igualdad (0.629), mujer (0.363), aborto (0.337), derecho (0.220), él (0.212), hombre (0.184), vox (0.173), género (0.161), deber (0.113), vida (0.110)"
Modelo con 3 temas,0.3009599956746125,1,"igualdad (-0.597), aborto (0.577), vox (0.248), derecho (0.202), él (0.196), género (-0.167), vida (0.136), año (0.090), 000 (0.087), hombre (-0.084)"
Modelo con 3 temas,0.3009599956746125,2,"vox (0.761), aborto (-0.417), voto (0.258), pp (0.202), mujer (-0.127), él (0.095), decir (0.094), izquierda (0.090), @vox_es (0.081), pagar (0.078)"
Modelo con 4 temas,0.3256679252453031,0,"igualdad (0.629), mujer (0.363), aborto (0.337), derecho (0.220), él (0.212), hombre (0.184), vox (0.173), género (0.161), deber (0.113), vida (0.110)"
Modelo con 4 temas,0.3256679252453031,1,"igualdad (-0.597), aborto (0.577), vox (0.248), derecho (0.202), él (0.196), género (-0.167), vida (0.136), año (0.090), 000 (0.087), hombre (-0.084)"
Modelo con 4 temas,0.3256679252453031,2,"vox (0.761), aborto (-0.417), voto (0.258), pp (0.202), mujer (-0.127), él (0.095), decir (0.095), izquierda (0.090), @vox_es (0.081), pagar (0.078)"
Modelo con 4 temas,0.3256679252453031,3,"mujer (-0.779), derecho (0.283), hombre (-0.261), igualdad (0.239), aborto (0.190), género (0.128), feminismo (-0.109), decidir (-0.099), vida (0.095), decir (0.090)"
Modelo con 5 temas,0.4326487265324543,0,"igualdad (-0.629), mujer (-0.363), aborto (-0.337), derecho (-0.220), él (-0.212), hombre (-0.184), vox (-0.173), género (-0.161), deber (-0.113), vida (-0.110)"
Modelo con 5 temas,0.4326487265324543,1,"igualdad (-0.597), aborto (0.577), vox (0.248), derecho (0.202), él (0.196), género (-0.167), vida (0.136), año (0.090), 000 (0.087), hombre (-0.084)"
Modelo con 5 temas,0.4326487265324543,2,"vox (-0.761), aborto (0.417), voto (-0.258), pp (-0.202), mujer (0.127), él (-0.095), decir (-0.094), izquierda (-0.090), @vox_es (-0.081), pagar (-0.078)"
Modelo con 5 temas,0.4326487265324543,3,"mujer (0.779), derecho (-0.283), hombre (0.261), igualdad (-0.239), aborto (-0.190), género (-0.128), feminismo (0.109), decidir (0.099), vida (-0.095), decir (-0.090)"
Modelo con 5 temas,0.4326487265324543,4,"derecho (-0.699), aborto (0.295), privado (0.184), @emmarincon (-0.182), 000 (0.180), vida (-0.174), vox (0.151), público (0.145), año (0.133), león (0.128)"
Modelo con 6 temas,0.3995835901487586,0,"igualdad (0.629), mujer (0.363), aborto (0.337), derecho (0.220), él (0.212), hombre (0.184), vox (0.173), género (0.161), deber (0.113), vida (0.110)"
Modelo con 6 temas,0.3995835901487586,1,"igualdad (0.597), aborto (-0.577), vox (-0.248), derecho (-0.202), él (-0.196), género (0.167), vida (-0.136), año (-0.090), 000 (-0.087), hombre (0.084)"
Modelo con 6 temas,0.3995835901487586,2,"vox (0.761), aborto (-0.417), voto (0.258), pp (0.202), mujer (-0.127), él (0.095), decir (0.095), izquierda (0.090), @vox_es (0.081), pagar (0.078)"
Modelo con 6 temas,0.3995835901487586,3,"mujer (0.779), derecho (-0.283), hombre (0.261), igualdad (-0.239), aborto (-0.190), género (-0.128), feminismo (0.109), decidir (0.099), vida (-0.095), decir (-0.090)"
Modelo con 6 temas,0.3995835901487586,4,"derecho (-0.699), aborto (0.295), privado (0.184), @emmarincon (-0.182), 000 (0.180), vida (-0.174), vox (0.151), público (0.145), año (0.133), león (0.128)"
Modelo con 6 temas,0.3995835901487586,5,"voto (-0.661), él (0.544), derecho (-0.195), vox (0.152), mujer (-0.118), 000 (-0.099), decir (0.099), español (-0.095), izquierdo (0.092), gobierno (-0.091)"
Modelo con 7 temas,0.40683541194203293,0,"igualdad (-0.629), mujer (-0.363), aborto (-0.337), derecho (-0.220), él (-0.212), hombre (-0.184), vox (-0.173), género (-0.161), deber (-0.113), vida (-0.110)"
Modelo con 7 temas,0.40683541194203293,1,"igualdad (-0.597), aborto (0.577), vox (0.248), derecho (0.202), él (0.196), género (-0.167), vida (0.136), año (0.090), 000 (0.087), hombre (-0.084)"
Modelo con 7 temas,0.40683541194203293,2,"vox (0.761), aborto (-0.417), voto (0.258), pp (0.202), mujer (-0.127), él (0.095), decir (0.095), izquierda (0.090), @vox_es (0.081), pagar (0.078)"
Modelo con 7 temas,0.40683541194203293,3,"mujer (0.779), derecho (-0.283), hombre (0.261), igualdad (-0.239), aborto (-0.190), género (-0.128), feminismo (0.108), decidir (0.099), vida (-0.095), decir (-0.090)"
Modelo con 7 temas,0.40683541194203293,4,"derecho (0.699), aborto (-0.295), privado (-0.184), @emmarincon (0.182), 000 (-0.180), vida (0.174), vox (-0.151), público (-0.145), año (-0.133), león (-0.128)"
Modelo con 7 temas,0.40683541194203293,5,"voto (0.661), él (-0.544), derecho (0.195), vox (-0.152), mujer (0.118), 000 (0.099), decir (-0.099), español (0.095), izquierdo (-0.092), gobierno (0.091)"
Modelo con 7 temas,0.40683541194203293,6,"él (0.482), voto (0.480), vox (-0.349), izquierdo (0.346), derecho (-0.183), medio (0.139), pasar (0.134), quedar (0.101), idea (0.100), privado (-0.097)"
Modelo con 8 temas,0.35869339383867127,0,"igualdad (0.629), mujer (0.363), aborto (0.337), derecho (0.220), él (0.212), hombre (0.184), vox (0.173), género (0.161), deber (0.113), vida (0.110)"
Modelo con 8 temas,0.35869339383867127,1,"igualdad (-0.597), aborto (0.577), vox (0.248), derecho (0.202), él (0.196), género (-0.167), vida (0.136), año (0.090), 000 (0.087), hombre (-0.084)"
Modelo con 8 temas,0.35869339383867127,2,"vox (0.761), aborto (-0.417), voto (0.258), pp (0.202), mujer (-0.127), él (0.095), decir (0.095), izquierda (0.090), @vox_es (0.081), pagar (0.078)"
Modelo con 8 temas,0.35869339383867127,3,"mujer (0.779), derecho (-0.283), hombre (0.261), igualdad (-0.239), aborto (-0.190), género (-0.128), feminismo (0.108), decidir (0.099), vida (-0.095), decir (-0.090)"
Modelo con 8 temas,0.35869339383867127,4,"derecho (-0.699), aborto (0.295), privado (0.184), @emmarincon (-0.182), 000 (0.180), vida (-0.174), vox (0.151), público (0.145), año (0.133), león (0.128)"
